,id,count,docty,docdt,majdocty,colti,display_title,pdfurl,listing_relative_url,url_friendly_title,new_url,guid,origu,url,authors.0.author,authors.1.author,docna.0.docna,entityids.entityid,abstracts.cdata!,authors.2.author,authors.3.author,authors.4.author,authors.5.author,authors.6.author,authors.7.author,authors.8.author,EnvironmentalCategory
0,34234558,Bulgaria,Policy Research Working Paper,2024-01-09T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10657; COVID-19 (Coronavirus); PROSPERITY; RRR","Reassessing Welfare Impacts of
            Bulgarian Fiscal Policy through a Child Poverty Perspective",http://documents.worldbank.org/curated/en/099322301092438309/pdf/IDU188f80cfb173ec1413c19a5b1f768dd633328.pdf,/research/2024/01/34234558/reassessing-welfare-impacts-bulgarian-fiscal-policy-through-child-poverty-perspective,http://documents.worldbank.org/curated/en/099322301092438309/IDU188f80cfb173ec1413c19a5b1f768dd633328,2024/01/34234558/IDU188f80cfb173ec1413c19a5b1f768dd633328,099322301092438309,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099322301092438309/IDU188f80cfb173ec1413c19a5b1f768dd633328,"Robayo,Monica","Cabrera,Maynor Vinicio","Reassessing Welfare Impacts of Bulgarian
            Fiscal Policy through a Child Poverty Perspective",34234558,"This paper delves into
            Bulgaria's persistent issue of child poverty, even
            amidst policy efforts at the European Union (EU) and
            national levels. The study updates a comprehensive fiscal
            incidence analysis using the Commitment to Equity (CEQ)
            model, considering COVID-19's impact and a
            child-focused perspective, and simulates child-related
            policy interventions' effectiveness in alleviating
            child poverty. Our results show that Bulgaria's fiscal
            system has a limited impact on the overall at-risk of
            poverty rate, though it shows potential in reducing poverty
            for lower income deciles. Bulgaria's fiscal system
            reduces inequality compared to other countries with similar
            income levels, primarily driven by the substantial influence
            of direct transfers, education, and health allocations.
            Nevertheless, the redistributive effect of direct taxes and
            transfers remains comparatively modest within Europe. The
            study emphasizes the progressive nature of Bulgaria's
            fiscal components, benefiting the poorest through social
            benefits. When applying a child lens, our results show that
            fiscal policy is not very effective in addressing child
            poverty, as it reduces it by just 0.3 percentage points.
            However, means-tested programs targeting families and
            children play a significant role in mitigating child
            poverty. This research also underscores that specific
            households in Bulgaria face heightened vulnerability and may
            not receive optimal support from fiscal measures, including
            households with three or more children and lone-parent
            households, especially those headed by lone females.
            Microsimulation results suggest that enhancing child tax
            deductions among low-income earners and refining the design
            of child benefits to improve targeting effectiveness and
            generosity can notably contribute to child poverty
            reduction. The paper offers insights into more equitable
            policy design in Bulgaria's pursuit of combating child poverty.",,,,,,,,
1,34234665,European Union,Policy Research Working Paper,2024-01-09T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10658; COVID-19 (Coronavirus); Paper is funded by the
            Knowledge for Change Program (KCP); PROSPERITY","Are Regional Fiscal Multipliers
            on EU Structural and Investment Fund Spending Large ? A
            Reassessment of the Evidence",http://documents.worldbank.org/curated/en/099454401092494983/pdf/IDU18f59eeba1cf4714b7a190091fb9ef0cc9001.pdf,/research/2024/01/34234665/regional-fiscal-multipliers-eu-structural-investment-fund-spending-large-reassessment-evidence,http://documents.worldbank.org/curated/en/099454401092494983/IDU18f59eeba1cf4714b7a190091fb9ef0cc9001,2024/01/34234665/IDU18f59eeba1cf4714b7a190091fb9ef0cc9001,099454401092494983,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099454401092494983/IDU18f59eeba1cf4714b7a190091fb9ef0cc9001,"Fiuratti,Federico Ivan","Nikolova,Desislava Enikova","Are Regional Fiscal Multipliers on EU
            Structural and Investment Fund Spending Large ? A
            Reassessment of the Evidence",34234665,"The European Commission’s
            “NextGenerationEU” COVID-19 recovery package has underscored
            interest in the size of regional fiscal multipliers in
            Europe. While the objective of these funds is the long-term
            transformation toward more sustainable green growth and
            digitalization in EU economies, several recent papers have
            also focused on their short-term stimulatory effects and
            have estimated large short-term regional multipliers on
            historical EU structural and investment fund spending. This
            has contributed to a view that EU funds can boost growth
            substantially not only in the long term, but also in the
            short term in countries receiving large flows, particularly
            in Central and Eastern Europe. This paper reevaluates the
            evidence by estimating regional short-term multipliers using
            recent data on EU fund spending and a leave-one-out
            predicted disbursement schedule instrument. In contrast with
            much of the recent literature, there is little evidence of
            large relative GDP multipliers at either the national or
            subnational level in the short term. This is despite a
            strong response of regional investment to EU funds, which
            often increases euro for euro. The results suggest that
            expectations should be tempered on using EU structural and
            investment funds as a tool for short-term regional fiscal
            stimulus, and instead policy makers may want to focus on the
            long-term benefits of EU funds, in line with their original purpose.","Pennings,Steven Michael","Schiffbauer,Marc Tobias",,,,,,
2,34234742,Middle East and North Africa,Policy Research Working Paper,2024-01-09T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10659; MNACE labor and gender research programs; PEOPLE","Connecting People to Projects : A
            New Approach to Measuring Women’s Employment in the Middle
            East and North Africa",http://documents.worldbank.org/curated/en/099529501092432412/pdf/IDU1e6444df0122f014b98186271c838b68c9b12.pdf,/research/2024/01/34234742/connecting-people-projects-new-approach-measuring-women’s-employment-middle-east-north-africa,http://documents.worldbank.org/curated/en/099529501092432412/IDU1e6444df0122f014b98186271c838b68c9b12,2024/01/34234742/IDU1e6444df0122f014b98186271c838b68c9b12,099529501092432412,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099529501092432412/IDU1e6444df0122f014b98186271c838b68c9b12,"Assaad,Ragui A","Krafft,Caroline Gould","Connecting People to Projects : A New
            Approach to Measuring Women’s Employment in the Middle East
            and North Africa",34234742,"Innovations to date in detecting
            women’s employment have focused primarily on improving
            individual-level questions. This paper explores an
            alternative approach, using data on household enterprises
            and asking who participates in these activities. This
            research uses the latest waves of the Labor Market Panel
            Surveys for the Arab Republic of Egypt (2018) and Tunisia
            (2014). The research questions are (1) How do men’s and
            women’s employment rates change when adding enterprise-based
            detection questions to standard individual-level questions
            (2) Was the additional market employment detected with
            project-based approaches classified as subsistence work with
            individual measurement approaches (3) For which women is
            additional employment detected using project-based
            approaches The paper presents descriptive results on work
            based on the different approaches. It also estimates changes
            in state (being reclassified as working) from adding
            enterprise-level data. The findings show large increases in
            employment rates for rural women in both countries when
            including enterprise-based detection questions.",,,,,,,,
3,34234814,"Africa,World",Policy Research Working Paper,2024-01-09T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10660; LSMS; RSB; PLANET","The Impacts of Disasters on
            African Agriculture: New Evidence from Micro-Data",http://documents.worldbank.org/curated/en/099631201092430123/pdf/IDU1a05387711b76b14abe1a96b151bc26fb28e2.pdf,/research/2024/01/34234814/impacts-disasters-african-agriculture-new-evidence-micro-data,http://documents.worldbank.org/curated/en/099631201092430123/IDU1a05387711b76b14abe1a96b151bc26fb28e2,2024/01/34234814/IDU1a05387711b76b14abe1a96b151bc26fb28e2,099631201092430123,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099631201092430123/IDU1a05387711b76b14abe1a96b151bc26fb28e2,"Wollburg,Philip Randolph","Markhof,Yannick Valentin","The Impacts of Disasters on African
            Agriculture: New Evidence from Micro-Data",34234814,"Disasters affect millions of people
            each year and cause economic losses worth many billions of
            dollars globally. Reporting on disaster impacts in research,
            policy, and news primarily relies on macro statistics based
            on disaster inventories. The macro statistics suggest that a
            relatively small share of disaster damages accrues in
            Africa. This paper, instead, uses detailed survey micro-data
            from six African countries to quantify disaster damages in
            one key sector: crop agriculture. The micro-data reveals
            much higher damages and more people affected than the macro
            statistics would indicate. On average, 36 percent of the
            agricultural plots in the sample suffer crop losses due to
            adverse climatic events. In the countries and time period
            analyzed, these losses reduced total crop production by an
            average of 29 percent. Importantly, many of these losses are
            underreported or undetected in key disaster inventories and
            therefore elude macro statistics. In the case of droughts
            and floods, the economic losses recorded in the micro-data
            are $5.1 billion higher than in the macro statistics,
            affecting 145 million to 170 million people, more than four
            times as many as the macro statistics suggest. The
            difference stems mostly from smaller and less severe but
            frequent adverse events that are not recorded in disaster inventories.","Bentze,Thomas Patrick","Ponzini,Giulia",,,,,,
4,34234826,"Morocco,Egypt, Arab Republic of,Jordan",Policy Research Working Paper,2024-01-09T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10661; MNACE labor and gender research programs; PEOPLE","For Labor or for Divorce ?
            Unilateral Divorce Laws and Women’s Labor Outcomes",http://documents.worldbank.org/curated/en/099652201092435820/pdf/IDU1007f1e40136dc14d5618ed3139e211ed42d7.pdf,/research/2024/01/34234826/labor-or-divorce-unilateral-divorce-laws-women’s-labor-outcomes,http://documents.worldbank.org/curated/en/099652201092435820/IDU1007f1e40136dc14d5618ed3139e211ed42d7,2024/01/34234826/IDU1007f1e40136dc14d5618ed3139e211ed42d7,099652201092435820,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099652201092435820/IDU1007f1e40136dc14d5618ed3139e211ed42d7,"El Mekkaoui,Najat","Loukili,Sara","For Labor or for Divorce ? Unilateral
            Divorce Laws and Women’s Labor Outcomes",34234826,"Despite substantial progress in
            closing the gender gap, women’s labor force participation in
            the Middle East and North Africa remains one of the lowest
            globally, at a mere 18 percent. This paper investigates the
            effect of the introduction of unilateral divorce laws on
            women’s labor outcomes, using data from the Demographic and
            Health Survey program that spans decades and a
            quasi-experimental difference-in-differences design in three
            countries: Morocco, the Arab Republic of Egypt, and Jordan.
            The results highlight that no-fault divorce legislation was
            associated with a modest increase in mothers’ labor
            outcomes, measured by current employment, a few years after
            the reform. These findings are likely induced by a power
            shift and anticipatory effects that drive women into the
            labor force. However, when a longer time window is
            considered, 10 or more years after the reform, the study
            documents a negative effect of the reform on women’s labor
            outcomes in Morocco, and a positive effect in the Arab
            Republic of Egypt and Jordan. These differences can be
            attributed to a set of countervailing effects, including
            social norms, labor market dynamics, and evolution of the
            legislation, that make the derived utility from marriage, in
            some cases, more attractive than that derived from
            employment, and vice versa. These findings partially confirm
            results from previous research on the relationship between
            no-fault divorce and women’s agency and empowerment in the
            Middle East and North Africa region, but, at the same time,
            contrast with prominent perspectives on legislation that
            aims at reducing gender-based discrimination. Instead, they
            show that there might be undesired effects of legislation
            and provide a policy relevant discussion on that basis.","Fourouheshfar,Yeganeh","Eissa,Nada Omer",,,,,,
5,34234978,Argentina,Policy Research Working Paper,2024-01-09T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10662; INFRASTRUCTURE","Leveraging Big Data to Understand
            Women’s Mobility in Buenos Aires",http://documents.worldbank.org/curated/en/099953201092473028/pdf/IDU119c031ad1ac5a146a019875195feede84554.pdf,/research/2024/01/34234978/leveraging-big-data-understand-women’s-mobility-buenos-aires,http://documents.worldbank.org/curated/en/099953201092473028/IDU119c031ad1ac5a146a019875195feede84554,2024/01/34234978/IDU119c031ad1ac5a146a019875195feede84554,099953201092473028,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099953201092473028/IDU119c031ad1ac5a146a019875195feede84554,"Stokenberga,Aiga","Ivarsson Molina,Linda Ellin Maria","Leveraging Big Data to Understand Women’s
            Mobility in Buenos Aires",34234978,"While the travelers’ gender has not
            been a central consideration driving urban mobility
            planning, increasing evidence points to
            gender-differentiated mobility preferences and behaviors.
            This paper explores this topic in the context of the Buenos
            Aires Metropolitan Area, aiming to identify policy relevant
            differences between the mobility of women and men. It does
            so by leveraging mobile phone–based data, combined with
            existing household travel survey data and an original
            large-scale interception survey implemented in late 2021 and
            early 2022. The paper provides descriptive analysis of key
            spatial and temporal mobility patterns as well as implements
            statistical analysis to identify whether gender represented
            a key determinant of mode choice in the context of the
            pandemic. The analysis finds that women in the Buenos Aires
            Metropolitan Area travel less, tend to have shorter
            individual trips, and are much more likely than men to
            travel during off-peak hours, including due to
            disproportionately taking on “care mobility”
            responsibilities. In terms of mode choices, women represent
            the majority of public transport users and are more likely
            than men to say they would cycle. However, women’s share
            among public transport users and their actual cycling and
            walking appear to be spatially correlated with,
            respectively, the availability of public transport services
            and dedicated, safe infrastructure. The travel responses to
            the pandemic documented in the original survey data also
            suggest that women are more likely than men to switch from
            public transport to private motorized modes as soon as their
            incomes allow them to unless appropriate health safety
            measures are put in place.","Fulponi,Juan Ignacio","Dominguez Gonzalez,Karla",,,,,,
6,34235628,Middle East and North Africa,Policy Research Working Paper,2024-01-10T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10663; MNACE labor and gender research programs; DIGITAL","Could Digital Inclusion Close the
            Gender Economic Gap in the MENA Region ?",http://documents.worldbank.org/curated/en/099411101102421402/pdf/IDU112bb2bf813c6214f5e19bf71e40bc4e8b3e1.pdf,/research/2024/01/34235628/digital-inclusion-close-gender-economic-gap-mena-region,http://documents.worldbank.org/curated/en/099411101102421402/IDU112bb2bf813c6214f5e19bf71e40bc4e8b3e1,2024/01/34235628/IDU112bb2bf813c6214f5e19bf71e40bc4e8b3e1,099411101102421402,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099411101102421402/IDU112bb2bf813c6214f5e19bf71e40bc4e8b3e1,"Mohieldin,Mahmoud","Ramadan,Racha","Could Digital Inclusion Close the Gender
            Economic Gap in the MENA Region ?",34235628,"Closing the gender digital divide by
            ensuring equal access to and benefit of the internet may
            reduce economic inequalities and close the gender gap in
            employment by providing new economic opportunities and
            facilitating access to market information. This paper
            estimates the impact of digital inclusion, measured by the
            Inclusive Internet Index on the female-to-male labor force
            participation ratio, while controlling for other economic
            and social factors. Using data from the World Development
            Indicators, the Economist Intelligence Unit database, and
            the World Bank’s Women, Business and the Law database for 13
            countries in the Middle East and North Africa region for
            four years (2018 to 2021), a pooled cross section dataset is
            constructed. The model is estimated using generalized least
            squares to control for heteroskedasticity. The results show
            that an inclusive internet environment would reduce the
            gender gap in the labor force. Other key drivers include the
            structure of the economic growth, norms, and gender roles in
            the society. These results are relevant for the United
            Nations Sustainable Development Goals agenda, mainly goals 5
            and 10.",,,,,,,,
7,34235906,"Ghana,World",Policy Research Working Paper,2024-01-10T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10664; LSMS; PEOPLE","Labor Market Participation and
            Employment Choice in Ghana : Do Individual Personality
            Traits and Gender Role Attitudes Matter ?",http://documents.worldbank.org/curated/en/099847101102435095/pdf/IDU1b87794181d58c1435d18ef51bf24092eacd1.pdf,/research/2024/01/34235906/labor-market-participation-employment-choice-ghana-individual-personality-traits-gender-role-attitudes-matter,http://documents.worldbank.org/curated/en/099847101102435095/IDU1b87794181d58c1435d18ef51bf24092eacd1,2024/01/34235906/IDU1b87794181d58c1435d18ef51bf24092eacd1,099847101102435095,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099847101102435095/IDU1b87794181d58c1435d18ef51bf24092eacd1,"Amankwah,Akuffo","Castaing,Pauline","Labor Market Participation and Employment
            Choice in Ghana : Do Individual Personality Traits and
            Gender Role Attitudes Matter ?",34235906,"In addition to the conventional
            determinants of labor market participation and the choice
            between wage employment and self-employment, there is a
            growing interest of the significance of gender role
            attitudes and personality traits. This study uses data from
            the 2022 Ghana Informal Sector Measurement Study to
            investigate the influence of these factors on employment
            outcomes in the Northern and Ashanti regions of Ghana. The
            findings are based on a series of analyses, including
            descriptive, multinomial logistic, and linear probability
            model regressions. The empirical results show the critical
            role played by both gender role attitudes and personality
            traits in shaping individuals' decisions on labor
            market participation and employment choices. Notably,
            personality traits emerge as significant drivers of observed
            employment outcomes. However, the impact of these
            personality traits is often mitigated or even reversed in
            the presence of heightened traditionalism. Furthermore, the
            gender-disaggregated analysis reveals that possessing at
            least a secondary education level is a pivotal factor in the
            selection of men into formal employment, whereas this
            criterion holds less significance for women. Conversely,
            once the decision to participate in the labor market has
            been made, having at least a secondary education becomes
            relevant for securing wage employment, regardless of an
            individual's gender.","Owoo,Nkechi Srodah","Palacios-Lopez,Amparo",,,,,,
8,34236745,World,Policy Research Working Paper,2024-01-11T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10665; RRR; PLANET","Trade, Outsourcing, and the Environment",http://documents.worldbank.org/curated/en/099321301112414585/pdf/IDU1e2f5c11c11f0614c5c19f511696a41248dec.pdf,/research/2024/01/34236745/trade-outsourcing-environment,http://documents.worldbank.org/curated/en/099321301112414585/IDU1e2f5c11c11f0614c5c19f511696a41248dec,2024/01/34236745/IDU1e2f5c11c11f0614c5c19f511696a41248dec,099321301112414585,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099321301112414585/IDU1e2f5c11c11f0614c5c19f511696a41248dec,"Artuc,Erhan","Sommer,Konstantin Heinrich Ludwig","Trade, Outsourcing, and the Environment",34236745,"This paper analyzes the effects of
            carbon taxation and border carbon adjustments in a setting
            where firms can choose to respond to taxation by abating or
            by outsourcing part of their production. For this, this
            paper sets up a general equilibrium trade model, calibrated
            with world trade and input-output data that features a
            discrete choice production structure, where the producers
            choose between outsourcing or abating emission-intensive
            intermediate production steps. The paper finds that border
            adjustments that cannot target scope 3 emissions can lead to
            outsourcing, and thus leakage, further down the value chain,
            but nevertheless induce higher abatement both in the
            countries that impose the border adjustment and in the ones
            affected by it.",,,,,,,,
9,34236962,World,Policy Research Working Paper,2024-01-11T00:00:00Z,Publications & Research,"Policy Research working paper ; no. WPS
            10666; COVID-19 (Coronavirus); PEOPLE","COVID-19, School Closures, and
            Student Learning Outcomes : New Global Evidence from PISA",http://documents.worldbank.org/curated/en/099932301112496929/pdf/IDU16cf7d0801f2091478b1934914b47c3ab4027.pdf,/research/2024/01/34236962/covid-19-school-closures-student-learning-outcomes-new-global-evidence-pisa,http://documents.worldbank.org/curated/en/099932301112496929/IDU16cf7d0801f2091478b1934914b47c3ab4027,2024/01/34236962/IDU16cf7d0801f2091478b1934914b47c3ab4027,099932301112496929,Off of Sr VP Dev Econ/Chief Econ (DECVP),http://documents.worldbank.org/curated/en/099932301112496929/IDU16cf7d0801f2091478b1934914b47c3ab4027,"Jakubowski,Maciej Jan","Gajderowicz,Tomasz Janusz","COVID-19, School Closures, and Student
            Learning Outcomes : New Global Evidence from PISA",34236962,"The COVID-19 pandemic resulted in
            significant disruption in schooling worldwide. This paper
            uses global test score data to estimate learning losses. It
            models the effect of school closures on achievement by
            predicting the deviation of the most recent results from a
            linear trend using data from all rounds of the Programme for
            International Student Assessment. Scores declined by an
            average of 14 percent of a standard deviation, roughly equal
            to seven months of learning. Losses were greater for
            students in schools that faced relatively longer closures,
            boys, immigrants, and disadvantaged students. Educational
            losses may translate into significant national income losses
            over time.","Patrinos,Harry Anthony",,,,,,,
